Nr,Opcja,Poprawna
,"jedyną poprawną, nietrywialną zależnością funkcyjną jest zależność do klucza",+
281,"Użycie klauzuli PRIMARY KEY w deklaracji pola tabeli instrukcji CREATE TABLE powoduje, że: - (0)"
,w żadnym innym polu tej tabeli nie może zostać użyta klauzula PRIMARY KEY,+
,w polu tym nie może wystąpić wartość ?NULL?,+
,na tej kolumnie zostanie automatycznie założony indeks,+
,to pole staje się kluczem głównym,+
282,Wśród więzów spójności encji znajdują się: - (0)
,więzy klucza jednoznacznego,+
,więzy NOT NULL,+
,więzy CHECK,+
,"więzy klucza głównego,",+
283,"Które z poniższych klauzul muszą wystąpić przed GROUP BY (zakładając, że chcemy, aby w ogóle wystąpiły)? - (1)"
,INTO,+
,FROM,+
,WHERE,+
,HAVING,
284,"Jaką wartość dla kolumny ""Salary"" zwróci to zapytanie?SELECT ename, NVL(sal, 0) ""Salary"" FROM Emp WHERE Sal IS NULL ORDER BY ename; - (0)"
,0,0,+
0
,spację,
,nic nie zwróci,nic nie zwróci,,
nic nie zwróci,
,null,
285,Sortowania w bazie danych używa się przy: - (0)
,budowie początkowego indeksu na B+-drzewie,+
,wykonywaniu klauzuli UNION DISTINCT,+
,wykonywaniu klauzuli ORDER BY,+
,metodzie złączania Sort-Merge,+
286,Instrukcja FETCH jest używana w kursorze PL/SQL w celu: - (0)
,pobrania zawartości rekordu ze źródła danych i usunięcia poprzedniego rekordu,
,pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,,+
pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,
,pobrania zawartości rekordu ze źródła danych,+
,przejścia do następnego rekordu,+
287,Instrukcja FETCH jest używana w kursorze PL/SQL w celu: - (0)
,pobrania zawartości rekordu ze źródła danych,+
,usunięcia poprzedniego rekordu,
,pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,,+
pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,
,przejścia do następnego rekordu,+
288,"Jaki będzie efekt wykonania następującego polecenia:CREATE TABLE Osoby(imie VARCHAR2(30) PRIMARY KEY, nazwisko VARCHAR2(30) PRIMARY KEY, zarobki NUMBER(7,2)) - (6)"
,"zostanie stworzona tabela Osoby, której kluczem głównym będzie pole imie","zostanie stworzona tabela Osoby, której kluczem głównym będzie pole imie",
"zostanie stworzona tabela Osoby, której kluczem głównym będzie pole imie"
,"zostanie stworzona tabela Osoby, której kluczem głównym będzie pole nazwisko",
,"zostanie stworzona tabela Osoby, której kluczem głównym będzie zbiór złożony z pól (imie, nazwisko)",
,przy próbie wykonania polecenia wystąpi błąd,+
289,Relacja R ma atrybut a. Jaka liczba może być wynikiem wykonania instrukcji SELECT Count(*) FROM R WHERE a=a - (2)
,zawsze tyle jaka jest liczebność relacji R,zawsze tyle jaka jest liczebność relacji R,,
zawsze tyle jaka jest liczebność relacji R,
,0,+
,1,+
,dowolna liczba naturalna,+
290,Wskazać poprawne zapytanie SQL (w Oracle) znajdujące stanowiska pracy występujące zarówno w dziale 10 jak i w dziale 20. - (0)
,SELECT DISTINCT job FROM emp WHERE deptno = 10 AND deptno = 20,
,SELECT DISTINCT job FROM emp WHERE deptno = 10 INTERSECT SELECT DISTINCT job FROM emp WHERE deptno = 20,+
,SELECT DISTINCT job FROM emp WHERE deptno = 10 UNION SELECT DISTINCT job FROM emp WHERE deptno = 20,
,SELECT DISTINCT job FROM emp WHERE deptno = 10 OR deptno = 20,
291,Ile warunków złączeń potrzeba w zapytaniu aby uniknąć złączenia kartezjańskiego? - (0)
,w ogóle,
,liczba tabel plus jeden,
,liczba tabel minus jeden,+
,liczba kolumn minus jeden,
292,"Wskazać poprawne zapytanie SQL (w Oracle) znajdujące stanowiska, na których średni zarobek wynosi 3000 lub więcej. - (5)"
,"SELECT job, AVG(sal) FROM emp HAVING AVG (sal) >= 3000 GROUP BY job","SELECT job, AVG(sal) FROM emp HAVING AVG (sal) >= 3000 GROUP BY job",+
"SELECT job, AVG(sal) FROM emp HAVING AVG (sal) >= 3000 GROUP BY job"
,"SELECT job, AVG(sal) FROM emp GROUP BY job WHERE AVG (sal) >= 3000","SELECT job, AVG(sal) FROM emp GROUP BY job WHERE AVG (sal) >= 3000",,
"SELECT job, AVG(sal) FROM emp GROUP BY job WHERE AVG (sal) >= 3000",
,"SELECT job, AVG(sal) FROM emp WHERE AVG (sal) >= 3000 GROUP BY job",
,"SELECT job, AVG(sal) FROM emp GROUP BY job HAVING AVG (sal) >= 3000","SELECT job, AVG(sal) FROM emp GROUP BY job HAVING AVG (sal) >= 3000",,+
"SELECT job, AVG(sal) FROM emp GROUP BY job HAVING AVG (sal) >= 3000",
293,Kursor w PL/SQL jest to: - (0)
,rodzaj procedury,
,typ zmiennej,
,obszar roboczy używany do wykonania instrukcji SQL,obszar roboczy używany do wykonania instrukcji SQL,,+
obszar roboczy używany do wykonania instrukcji SQL,
,narzędzie do podnoszenia wyjątków,
294,Kursor w PL/SQL jest to: - (0)
,rodzaj procedury,
,typ zmiennej,
,obszar roboczy używany do wykonania instrukcji SQL,obszar roboczy używany do wykonania instrukcji SQL,,+
obszar roboczy używany do wykonania instrukcji SQL,
,narzędzie do podnoszenia wyjątków,
295,Kursor w PL/SQL to: - (0)
,obiekt o określonych właściwościach i metodach,+
,rodzaj procedury,
,funkcja debuggera,
,typ zmiennej,
296,"Wskazać poprawne (w Oraclu) zapytanie SQL znajdujące średnie zarobki tylko tych departamentów, które zatrudniają więcej niż trzech pracowników. - (2)"
,"SELECT deptno, AVG(sal) FROM emp HAVING COUNT (*) > 3 GROUP BY deptno;",+
,"SELECT deptno, AVG(sal) FROM emp GROUP BY deptno HAVING COUNT (*) > 3;",+
,"SELECT deptno, AVG(sal) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;","SELECT deptno, AVG(sal) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;",,
"SELECT deptno, AVG(sal) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;",
297,Wśród instrukcji występujących w bloku PL/SQL (między BEGIN a END) mogą się znaleźć: - (2)
,instrukcja CREATE TABLE,instrukcja CREATE TABLE,
instrukcja CREATE TABLE
,instrukcja COMMIT,+
,instrukcje SQL*Plus,
,deklaracje zmiennych,
298,Czy istniejący indeks przyśpiesza wykonanie instrukcji COMMIT? - (0)
,czasem,czasem,,
czasem,
,zawsze,zawsze,,
zawsze,
,nigdy,+
299,W którym z poniższych zapytań jest użyte złączenie zewnętrzne między dwiema tabelami (w Oraclu)? - (2)
,"SELECT region.region_name, employee.salary FROM region, employee WHERE region.id = employee.region_no(+);",+
,"SELECT region.region_name, employee.salary FROM region, employee WHERE employee.salary BETWEEN region.avg_salary AND region.max_salary;",
,"SELECT region.region_name, employeeinfo.last_name FROM employee region, employee employeeinfo WHERE employeeinfo.id >= region.manager_id;",
,"SELECT region.region_name, employee.salary FROM region, employee WHERE region.id = employee.region_no;",
300,Czy istniejący indeks przyśpiesza wykonanie instrukcji DELETE? - (0)
,zawsze,
,czasem,czasem,,+
czasem,
,nigdy,
301,Jaka jest wartość wyrażenia NOT Null? - (2)
,False,
,NULL,+
,True,
,jest nieokreślone,
302,Które metody dotyczą ochrony danych przed nieautoryzowanym dostępem? - (0)
,wprowadzenie kont i haseł,+
,słownik danych,
,kopia zapasowa,
,przyznawanie uprawnień do wykonywania operacji na obiektach,przyznawanie uprawnień do wykonywania operacji na obiektach,,+
przyznawanie uprawnień do wykonywania operacji na obiektach,
303,W którym z poniższych przypadków konieczne jest umieszczenie tekstu w apostrofach (w Oraclu)? - (0)
,odwołanie do zmiennej typu CHAR w klauzuli WHERE,odwołanie do zmiennej typu CHAR w klauzuli WHERE,+
odwołanie do zmiennej typu CHAR w klauzuli WHERE
,odwołanie do zmiennej numerycznej w klauzuli WHERE,
,wyświetlenie myślnika (-) między dwoma połączonymi kolumnami,+
,wskazanie nazw kolumn w klauzuli SELECT,
304,W wyzwalaczu T-SQL: - (0)
,Mogą byc deklarowane zmienne.,+
,Można uzywać instrukcji DML.,+
,Można używać kursorów.,+
,Można używać instrukcji ROLLBACK,+
305,Jakie znaczenie ma dziennik powtórzeń w serwerach baz danych? - (0)
,Pozwala wycofywać transakcje.,+
,Pozwala na odtworzenie stanu bazy danych z określonego punktu w czasie.,+
,Pozwala zarządzać uprawnieniami.,
,Pozwala zachować spójność danych po awarii.,+
306,Zaznacz poprawne stwierdzenia dotyczące kopii zapasowych w MS SQL Server: - (0)
,"Kopia różnicowa zawiera zmiany miedzy podstawowym plikiem z danymi (mdf), a dodatkowym plikiem z danymi (ndf).",
,Kopia różnicowa zawiera zmiany w bazie danych wykonane od ostatniej kopii pełnej.,+
,Kopia różnicowa zawiera zmiany w bazie danych wykonane od poprzedniej kopii różnicowej.,
,Kopia różnicowa zawiera zmiany w bazie danych wykonane od ostatniej kopii dziennika transakcji.,
307,Partycjonowanie tabel polega na: - (0)
,Podziale tabeli na wiele części względem wartości w wierszach.,+
,Podziale tabeli na schemat oraz zawartość.,
,Podziale tabeli na wiele plików dyskowych.,+
,Podziale tabel na wiele częsci względem kolumn.,
308,W funkcji (FUNCTION) PL/SQL: - (0)
,Funkcje definiowane w bazie danych moga być użyte w poleceniach SQL.,+
,Nazwa funkcji może zostać przeciążona.,+
,Można użyć instrukcji DQL.,+
,Nie można zadeklarować parametru typu OUT.,+
309,Jakie są podstawowe składowe diagramów związków encji? - (0)
,związki,+
,atrybuty,+
,encje,+
310,Jaki rodzaj związku binarnego jest elementarnym związkiem w hierarchii encji? - (0)
,związek jedno-jednoznaczny oznaczany symbolem jest.,+
,związek weloznaczny,
311,W nagłówku bloku anonimowego w PL/SQL może wystąpić : - (2)
,TRY,
,DECLARE,+
,BEGIN,+
,CATCH,
312,Wśród instrukcji występujących w bloku PL/SQL mogą się znaleźć: - (0)
,instrukcja COMMIT,+
,"instrukcja DBMS_OUTPUT.PUT_LINE(‘Początek transakcji’),",+
,instrukcja ROLLBACK.,+
,instrukcja warunkowa,+
313,"Które z następujących elementów: atrybuty, encje, związki mogą być argumentami związków? - (0)"
,atrybuty dekryptywne,+
,encje,+
,związki,+
314,Jak nazywa się notacja zapisu zapytań używana przy ich optymalizacji? - (0)
,selekcja,
,algebra zapytań,+
315,Jakie są specjalne notacje zapytań? - (0)
,QBE,+
,rachunek relacyjny,+
,algebra relacji,+
316,Jaki jest model podstawowej jednostki danych poziomu fizycznego bazy danych? - (3)
,rekord składający się z pól określonych typów danych,+
,tabela,
317,Implementacja migawki prostej z opcją REFRESH FAST w głównej bazie danych wymaga utworzenia: - (0)
,perspektywy,
,indeksu,
,dziennika migawki,+
318,Problem fantomów dotyczy sytuacji w - (0)
,W trakcie działania transakcji inna transakcja wstawiła nowy rekord,+
,W trakcie działanie transkacji inna usunęła rekord,
,"Użytkownik zobaczyl rekord wprowadzony przez innego użytkownika, który nie został zatwierdzony przez COMMIT",
,Rekord został w obrębie jednej transkacji wprowadzony (INSERT) i od razu usunięty (DELETE),
319,"Która z instrukcji PL/SQL nie zakończy się błędem , przy założeniu że w tabelki DEPTNO są dwa rekordy z wartościami Deptno IN (10,20) oraz prawidłowej deklaracji zmiennej v_deptno - (6)"
,SELECT deptno INTO v_deptno FROM dept WHERE deptno = 10;,+
,SELECT deptno INTO v_deptno FROM dept WHERE deptno > 10;,+
,SELECT deptno INTO v_deptno FROM dept WHERE deptno < 20;,+
,SELECT deptno INTO v_deptno FROM dept WHERE deptno = 30;,
320,Która z poniższych instrukcji PL/SQL prawidłowo podstawia wartość na zmienną (w tabeli EMP jest 14 rekordów) ? - (3)
,SELECT ename INTO v_ename FROM emp;,
,V_ala Varchar2(10) := ‘Ala’;,+
,SELECT ename INTO v_name FROM emp WHERE empno = 1234;,+
,SELECT v_ename = ename FROM emp WHERE empno = 1234;,
321,"Użycie klauzuli UNIQUE w deklaracji pola instrukcji CREATE TABLE oznacza , że : - (0)"
,Wartości w tym polu nie mogą się powtarzać;,+
,Na tej kolumnie zostanie automatycznie założony indeks,+
,W żadnym innym polu tej tabeli nie można użyć klauzuli UNIQUE,
,W tym polu nie może pojawić się wartość NULL,
322,Procedura T-SQL zwraca poprzez Result Set : - (0)
,Procedura może zwrócić wynik tylko poprzez zmienna OUTPUT,
,Wszystkie wiersze ostatniej uruchomionej wewnątrz procedury instrukcji SELECT,+
,Poprzez Result Set mogą być zwracane wyłącznie komunikaty o błędach,
,Ostatni wiersz ostatniej uruchomionej wewnątrz procedury instrukcji SELECT,
323,"Która z poniższych instrukcji jest poprawna w T-SQL , jeżeli zostały prawidłowo zadeklarowane zmienne @empno i @deptno ? - (0)"
,SELECT @empno = 100;,+
,SELECT @empno = @empno;,+
,SELECT @empno = empno FROM emp;,+
,SELECT @empno = Max(empno) FROM emp;,+
324,"Dane są trzy tabele Klienci ( Id_Klienta, Imie , Nazwisko ), Produkty (Id_Produktu , Nazwa , Cena ) oraz Zakupy (Id_Klienta , Id_Produktu , Ilosc ) . Wskaż poprawne zapytania SQL znajdujące nazwy i ceny produktów , które zostały zakupione przez przynajmniej jednego klienta . - (0)"
,"SELECT DISTINCT Nazwa , Cena FROM Zakupy RIGHT OUTER JOIN Produkty ON Produkty.Id_Produktu = Zakupy.Id_Produktu;",
,"SELECT DISTINCT Nazwa , Cena FROM Produkty, Zakupy WHERE Produkty.Id_Produktu = Zakupy.Id_Produktu;",+
,"SELECT DISTINCT Nazwa , Cena FROM Produkty, Klienci;",
,"SELECT DISTINCT Nazwa , Cena FROM Produkty INNER JOIN Zakupy ON Produkty.Id_Produktu = Zakupy.Id_Produktu;",+
325,Które z poniższych stwierdzeń jest prawidłowe w PL/SQL ? - (7)
,Prawidłową konstrukcję pętli jest WHILE warunek BEGIN ciąg instrukcji END,
,Prawidłową konstrukcję pętli jest LOOP ciąg instrukcji END LOOP;,+
,Prawidłową konstrukcję pętli jest FOR i IN x … y ciąg instrukcji END LOOP;,
,Prawidłową konstrukcję pętli jest WHILE warunek LOOP ciąg instrukcji END LOOP;,+
326,Wskaż poprawne zapytanie SQL (dialekt Oracle) znajdujące pracowników zarabiających minimalną pensję na ich stanowiskach pracy : - (0)
,"SELECT ename , job , sal FROM emp WHERE (sal,job) IN (SELECT MIN(sal) , job FROM emp GROUP BY job );",+
,"SELECT ename, job MIN(sal) FROM emp GROUP BY job;",
,"SELECT ename, job, sal FROM emp WHERE sal = (SELECT MIN(sal) FROM emp GROUP BY job);",
,"SELECT ename , job, sal FROM emp e WHERE sal = (SELECT MIN(sal) From emp WHERE job = e.job);",+
327,Co należy do zalet synonimów? - (0)
,Są środkiem do realizacji niezależności fizycznej danych.,
,Ochraniają przed niepowołanym lub nieprawidłowym dostępem do danych.,
,Są środkiem do realizacji niezależności logicznej danych.,+
,Umożliwiają zdefiniowanie poziomu zewnętrznego bazy danych.,+
328,Do zakładania blokad służą konstrukcje: - (0)
,ROLLBACK,
,FOR UPDATE,+
,LOCK TABLE,+
,COMMIT,
329,"Treść pytaniaTabela (relacja) {Klucze - dużymi literami}. Dany schemat relacyjny Książka (NAZWISKO_AUTORA, TYTUŁ, Imie_Autora, Kategoria) z zależnościami funkcyjnymi F = { Nazwisko_Autora -> Imie_Autora Nazwisko_Autora, Tytuł -> Kategoria } jest w: - (0)"
,drugiej postaci normalnej,
,trzeciej postaci normalnej,
,pierwszej postaci normalnej,+
330,Poziom izolowanej transakcji można ustawić za pomocą instrukcji: - (0)
,ALTER SESSION,
,SET ISOLATION LEVEL,+
,CREATE TRANSACTION,
331,Jakie są role zdefiniowane przez system: - (4)
,CONNECT,+
,RESOURCE,+
,DBA,+
332,Wśród uprawnień przyznawanych w instrukcji GRANT występują: - (1)
,ALTER,+
,EXECUTE,+
,COMMIT,+
333,"Napisanie w SQL*Plus - describe tabela, spowoduje: - (0)"
,wyświetlenie schematu tabeli,+
,utworzenie schematu tabeli,
,wyświetlenie tylko nazw kolumn w tabeli,
334,Tabele PAŃSTWO i RZEKA ( i relacja przepływa przez) połączone są relacją - (3)
,jeden - wiele,
,wiele - jeden,
,wiele- wiele,
,wymagającą dodatkowej tabeli łączącej,+
335,"Klauzula ""DECLARE Dane_Osoby Osoba%ROWTYPE"" jest w PL/SQL: - (4)"
,deklatracją nowego rekordu,
,deklaracją nowego typu zmiennej,
,deklaracją zmiennej wraz z definicją jej typu,+
,deklaracją zmiennej,+
336,Które z mechanizmów są używane w hurtowni danych: - (0)
,"transformacja STAR,",+
,partycjonowanie tabeli.,+
,"histogram,",+
,"agregacje,",+
337,Które z mechanizmów są używane w hurtowni danych: - (0)
,indeksy bitmapowe.,+
,"instrukcja ANALYZE,",+
,"wielowymiarowość,",+
,schemat gwiazda.,+
338,Pakiet w PL/SQL - (0)
,Składa się z części publicznej (specyfikacji pakietu) i prywatnej (ciała pakietu),+
,Deklaracja zmiennych może odbywać się w części publicznej pakietu,+
,Deklaracja zmiennych może odbywać się w części prywatnej pakietu,+
339,Opcja sprawdzania użyta przy definiowaniu perspektywy ma znaczenie przy wykonywaniu: - (0)
,instrukcji SELECT,
,instrukcje DELETE,
,instrukcji INSERT,+
,instrukcji UPDATE,+
340,Co należy do zalet perspektyw? - (0)
,Są środkiem do realizacji niezależności fizycznej danych.,
,Umożliwiają zdefiniowanie poziomu zewnętrznego bazy danych.,+
,Ochraniają przed niepowołanym lub nieprawidłowym dostępem do danych.,+
,Są środkiem do realizacji niezależności logicznej danych.,+
341,"Tabela (relacja) {Klucze - dużymi literami}. Dany schemat relacyjny Pracownik (DOWOD_OSOBISTY, Nazwisko, Adres_Prac, Nr_Działu, Nazwa_Działu), z zależnościami funkcyjnymi F = { Dowod_Osobisty -> Nazwisko, Dowod_Osobisty -> Adres_Prac, Dowod_Osobisty -> Nr_Działu, Nr_Działu -> Nazwa_Działu} jest w: - (2)"
,drugiej postaci normalnej,
,postaci B-C,
,pierwszej postaci normalnej,
,trzeciej postaci normalnej,
342,Zdjęcie blokady założonej na tabeli następuje: - (5)
,po wykonaniu ROLLBACK,+
,po zapisaniu zmiany do bazy danych,
,po zmianie hasła,
,po wykonaniu COMMIT,+
343,"Jak dostać się z zewnątrz do procedury Zatrudnij z parametrami IdPracownika, Nazwisko, Pensja, NrDziału będącej w pakiecie ObsługaPracownika: - (9)"
,nie da się do niej dostać z zewnątrz,
,"ObsługaPracownika.Zatrudnij(1000, 'Kowalski', 2000, 10)",
,"Zatrudnij(1000, 'Kowalski', 2000, 10)",
,"GOTO ObsługaPracownika EXEC Zatrudnij(1000, 'Kowalski', 2000, 10)",
344,Które własności wchodzą w skład aksjomatów wykonywania transakcji: - (6)
,skalowalność,
,zabezpieczenie przed nieuprawnionym dostępem,
,wydajność,
,spójność,+
345,"Z ilu tabel powinna się składać prosta znormalizowana baza zawierająca informacje o częściach, urządzeniach i przynależności ""wiele do wielu"" między nimi: - (2)"
,2,
,4,
,1,
,3,+
346,Która z poniższych instrukcij prawidłowo utworzy tabelę tymczasową w T-SQL - (7)
,CREATE TABLE #Ala (Ala Int);,+
,CREATE TABLE ##Ala (Ala Int);,+
,"SELECT ename, sal INTO #Ala FROM emp;",+
,CREATE TABLE Ala (Ala Int);,
347,W procedurze (PROCEDURE) PL/SQL - (0)
,Deklarując parametr procedury nie podaje się jego typu,
,Jedynym typem parametru jest IN OUT,
,Deklarując typ parametru procedury nie podaje się jego rozmiaru,+
,Nazwa procedury może zostać przeciążona,+
348,Która z poniższych instrukcij jest składniowo poprawna w T-SQL - (1)
,IF 1 = 1 PRINT 'OK.';,+
,IF NULL = NULL PRINT 'OK';,+
,IF @empno = @empno PRINT 'OK';,+
,WHEN 1 = 1 THEN Print 'OK';,
349,Zaznacz poprawne stwierdzenia dotyczące przestrzeni tabel (Oracle) oraz grup plików (MS SQL): - (0)
,Przestrzeń tabel ma zawsze określony dokładnie jeden plik dyskowy,
,Grupie plików odpowiada zawsze dokładnie jeden fizyczny dysk twardy,
,Do przestrzeni tabel można przypisać wiele plików dyskowych,+
,Do przestrzeni tabel można przydzielić określone tabele bazy danych,+
350,Błąd w PL/SQL - (0)
,który wystąpił w bloku pomiedzy BEGIN i END jest obsługiwany w sekcji EXCEPTION tego samego bloku,+
,który wystąpił w sekcij deklaracji bloku jest przekazywany do bloku nadrzędnego,+
,który wystąpił w bloku pomiedzy BEGIN i END jest przekazywany do bloku nadrzędnego,
,który wystąpił w sekcji deklaraji bloku jest obsługiwany w sekcji EXCEPTION tego samego bloku,
351,Wskazać poprawne zapytanie SQL (dialekt ORACLE) znajdujące departamenty zatrudniające powyżej trzech pracowników - (2)
,"SELECT deptno, COUNT(*) FROM emp WHERE COUNT (*) > 3 GROUP BY deptno;",
,"SELECT deptno, COUNT(*) FROM emp GROUP BY deptno HAVING COUNT (*) > 3;",+
,"SELECT deptno, COUNT(*) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;",
,"SELECT deptno, job, COUNT(*) FROM emp GROUP BY deptno, job HAVING COUNT(*) > 3;",
352,Które z ponizszych sformułowań jest prawdziwe - (0)
,Kursor umożliwia nawigację po zestawie rekordów odczytanych z bazy,+
,Kursor umożliwia odczytanie wielu wierszy z bazy,+
,Kursor jest buforem przechowującym rekordy odczytane z bazy,+
,Kursor umożliwia podstawienie na zmienne wartości wszystkich pól z rekordu odczytanego z bazy,+
353,"Dane są trzy tabele Klienci(Id_Klienta, Imie, Nazwisko), Produkty(Id_Produktu, Nazwa, Cena) oraz Zakupy(Id_Klienta, Id_Produktu, Ilosc). Wskaż poprawne zapytania SQL znajdujące imiona i nazwiska klientów, którzy zakupili co najmniej jeden produkt. - (0)"
,"SELECT DISTINCT Imie, Nazwisko FROM Klienci, Zakupy;",
,"SELECT DITINCT Imie, Nazwisko FROM Klienci LEFT OUTER JOIN Zakupy ON Klienci.Id_Klienta = Zakupy.Id_Klienta;",
,"SELECT DISTINCT Imie, Nazwisko FROM Klienci, Produkty, WHERE Klienci.Id_Klienta = Produkty.Id_Produktu;",
,"SELECT DISTINCT Imie, Nazwisko FROM Klienci, Zakupy , Produkty, WHERE Klienci.Id_Klienta = Zakupy.Id_Klienta AND Produkty.Id_Produktu = Zakupy.Id_Produktu;",+
354,Obiekt bedący generatorem jednoznacznych numerów w Oracle tworzony jest przy pomocy polecenia: - (0)
,CREATE AUTONUMBER,
,CREATE SUCCESSION,
,CREATE SEQUENCE,+
,CREATE AUTOCOUNTER,
355,Która z poniżych instrukcji w SQL Server jest składniowo poprawna (zostanie wykonana) - (0)
,SELECT empno FROM emp WHERE empno = empno;,+
,SELECT 1 FROM emp WHERE 1 <> 1;,+
,SELECT 1 FROM emp WHERE 1 = 1;,+
,SELECT empno FROM emp WHERE 1 = 'Ala';,
356,Deklaracja zmiennej w T-SQL - (0)
,"po jednej dyrektywie DECLARE może pojawić się kilka nazw zmiennych wraz z typami danych, rozdzielonych przecinkami",+
,może pojawić się w dowolnym miejscu bloku po dyrektywie DECLARE,+
,może wystąpić wyłącznie w wydzielonej sekcji DECLARE,
,musi zawierać określenie typu danych zmiennej,+
357,Więzy spójności mogą być definiowane w nastepujących instrukcjach: - (2)
,ALTER USER,
,UPDATE,
,CREATE TABLE,+
,DROP TABLE,
358,Polecenia ROLLBACK i COMMIT dotyczą poleceń SQL - (0)
,wszystkich poleceń SQL zmieniających zawartość tabel,+
,"tylko UPDATE, SELECT, DELETE",
,"tylko INSERT, SELECT, DELETE",
,"tylko INSERT, UPDATE, SELECT",
359,Zaznacz poprawne stwierdzenia dotyczące wielowersyjności w bazach danych: - (0)
,Poziom izolacji SERILIZABLE w MS SQL Server jest realizowany przy pomocy wielowersyjności.,
,Oracle realizuje poziom izolacji READ COMMITTED przy pomocy wielowersyjności.,+
,Oracle oferuje poziom izolacji READ ONLY oparty ma mechanizmie wielowersyjności.,+
,Przy zarządzaniu współbieżnością opartym na wielowersyjności procesy odczytujące mogą działać bez zakładania blokad.,+
360,Które z poniższych słów moga być nagłówkami sekcji w bloku anonimowym PL/SQL - (0)
,BEGIN,+
,EXCEPTION,+
,TRY,
,DECLARE,+
361,W wyzwalaczu T-SQL można aktualizować dane: - (7)
,Z poziomu wyzwalacza nie wolno zmieniać danych w żadnych tabelach,
,Tylko w tabelach INSERTED i DELETED,
,"Tylko w tabeli, z którą jest związany wyzwalacz",
,"We wszystkich tabelach, poza INSERTED i DELETED",+
362,Które z poniższych instrukcji może zostać użyta w bloku PL/SQL? - (0)
,SELECT,+
,ALTER,
,DROP,
,COMMIT,+
363,Które z poniższych stwierdzeń jest prawdziwe w PL/SQL? - (0)
,"W instrukcji warunkowej polecenia po THEN wykonywane są wówczas, gdy warunek przyjmuje wartość TRUE",+
,"Jeżeli w instrukcji warunkwej wartością warunku jest NULL, wówczas nie zostaną wykonane instrukcje po THEN ani po ELSE.",
,"W instrukcji warunkowej polecenie po ELSE wykonywane są wówczas, gdy warunek przyjmuje wartość FALSE lub NULL",+
,"Jeżeli w instrukcji warunkowej wartością warunku jest NULL, wówczas zostaną wykonane instrukcje po THEN",
364,Instrukacja MERGE - (1)
,Jest zaimplementowana tylko w PL/SQL,
,Pozwala zrezygnować z używania instrukcji INSERT i UPDATE,
,Opiera się na koncepji porównania rekordów w źródle danych (tabeli lub widoku) i obiekcie docelowym (tabeli lub widoku),+
,Jest zaimplementowana zarówno w T-SQL jak i PL/SQL,+
365,Wyzwalcz INSTEAD OF - (1)
,działa identycznie jak wyzwalacz tybu BEFORE,
,"może być stworzony, any umożliwić wykonanie instrukcji DML na perspektywie",+
,Jest obiektem tworzonym przez polecenie CREATE,+
,może być tworzony na perspektywach,+
366,Wyzwalcz INSTEAD OF - (0)
,działa identycznie jak wyzwalacz tybu BEFORE,
,"może być stworzony, any umożliwić wykonanie instrukcji DML na perspektywie",+
,Jest obiektem tworzonym przez polecenie CREATE,+
,może być tworzony na perspektywach,+
367,"Problem niepowtarzalnego odczytu polega na tym, że: - (0)"
,"Użytkownik może odczytać dane zmienione przez innego użytkownika, które nie zostały zatwierdzone przez COMMIT",
,W dwóch różnych transakcjach tego samego użytkownika odczyt tego samego pola daje różne wyniki,
,W dwóch równolegle działających tranzakcjach odczyt tego samego pola daje różne wyniki,
,W dwóch punktach w czasie trwania tej samej transakcji odczy tego samego pola daje różne wyniki,+
należy wszystkie związki jednoznaczne zastąpić związkami jednojednoznacznymi,
0
nic nie zwróci,
pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,
pobrania zawartości rekordu ze źródła danych i przejścia do następnego rekordu,
"zostanie stworzona tabela Osoby, której kluczem głównym będzie pole imie"
zawsze tyle jaka jest liczebność relacji R,
"SELECT job, AVG(sal) FROM emp HAVING AVG (sal) >= 3000 GROUP BY job"
"SELECT job, AVG(sal) FROM emp GROUP BY job WHERE AVG (sal) >= 3000",
"SELECT job, AVG(sal) FROM emp GROUP BY job HAVING AVG (sal) >= 3000",
obszar roboczy używany do wykonania instrukcji SQL,
obszar roboczy używany do wykonania instrukcji SQL,
"SELECT deptno, AVG(sal) FROM emp GROUP BY deptno WHERE COUNT (*) > 3;",
instrukcja CREATE TABLE
czasem,
zawsze,
czasem,
przyznawanie uprawnień do wykonywania operacji na obiektach,
odwołanie do zmiennej typu CHAR w klauzuli WHERE
